outer_fold,inner_fold,model_name,average_precision,roc_auc,sensitivity,specificity,precision,recall,f1,balanced_accuracy,matthews_corrcoef,true_negative,false_positive,false_negative,true_positive,threshold,positive_prevalence,sample_count
0,0,simple_cnn_v1,0.07178704380150583,0.9001612909453587,0.18418688230008984,0.9973770760792716,0.1586687306501548,0.18418688230008984,0.1704781704781705,0.5907819791896807,0.16855427798019998,413336,1087,908,205,0.9603030303030302,0.0026784682915559663,415536
0,1,simple_cnn_v1,0.4004063605732654,0.9275172647483452,0.39807897545357523,0.999143675561586,0.5677321156773212,0.39807897545357523,0.46800501882057716,0.6986113255075806,0.4741741387122204,331366,284,564,373,0.7227272727272727,0.00281730795250566,332587
0,2,simple_cnn_v1,0.08235823178518714,0.7152746127973941,0.13376835236541598,0.9987754886894891,0.351931330472103,0.13376835236541598,0.1938534278959811,0.5662719205274526,0.21465633364281017,246327,302,1062,164,0.8019191919191919,0.0049464404591394165,247855
0,3,simple_cnn_v1,0.018579091871250675,0.827610307845264,0.1389351081530782,0.9835039726891631,0.03140278300112825,0.1389351081530782,0.05122699386503068,0.5612195404211207,0.05859755234305179,307106,5151,1035,167,0.40595959595959596,0.0038346322804577314,313459
1,0,simple_cnn_v1,0.04590078817574237,0.8851889438615634,0.1293800539083558,0.9972709043658291,0.11294117647058824,0.1293800539083558,0.12060301507537688,0.5633254791370924,0.11835479851550697,413292,1131,969,144,0.7474747474747474,0.0026784682915559663,415536
1,1,simple_cnn_v1,0.047448597818600446,0.8587362650289843,0.12479474548440066,0.9948349413032527,0.08577878103837472,0.12479474548440066,0.10167224080267559,0.5598148433938267,0.09926922749568479,312026,1620,1066,152,0.30696969696969695,0.0038683368057319985,314864
1,2,simple_cnn_v1,0.05031119753025721,0.6313183309586596,0.08319738988580751,0.9989620036573152,0.2849162011173184,0.08319738988580751,0.12878787878787878,0.5410796967715614,0.15177423345220056,246373,256,1124,102,0.8365656565656565,0.0049464404591394165,247855
1,3,simple_cnn_v1,0.04317280949447955,0.8879202464508615,0.2978369384359401,0.9815856810255654,0.058611656843483954,0.2978369384359401,0.09794801641586867,0.6397113097307527,0.1249404470349374,306507,5750,844,358,0.3713131313131313,0.0038346322804577314,313459
2,0,simple_cnn_v1,0.08396480269295686,0.8281230581757402,0.19137466307277629,0.9976762872717007,0.18112244897959184,0.19137466307277629,0.18610747051114024,0.5945254751722384,0.18393136721392064,413460,963,900,213,0.8167676767676767,0.0026784682915559663,415536
2,1,simple_cnn_v1,0.21738831061445757,0.8919663079207818,0.24220032840722497,0.9985780147044757,0.398110661268556,0.24220032840722497,0.30117406840224603,0.6203891715558504,0.30846221307222604,313200,446,923,295,0.9207070707070707,0.0038683368057319985,314864
2,2,simple_cnn_v1,0.1543718037159189,0.9169397828296504,0.3265741728922092,0.9970088949193426,0.2357473035439137,0.3265741728922092,0.2738255033557047,0.6617915339057759,0.2750772856032196,330658,992,631,306,0.4208080808080808,0.00281730795250566,332587
2,3,simple_cnn_v1,0.17461121572447028,0.7587949070023657,0.2553017944535073,0.9981997250931561,0.4134742404227213,0.2553017944535073,0.3156833081190116,0.6267507597733317,0.3223037200194721,246185,444,913,313,0.9702020202020202,0.0049464404591394165,247855
3,0,simple_cnn_v1,0.07859058656221987,0.8917964635639797,0.1703940362087327,0.9977081245275145,0.1927710843373494,0.1703940362087327,0.18089315997738836,0.5840510803681236,0.1787664829240681,291667,670,779,160,0.7177777777777777,0.003201762162604509,293276
3,1,simple_cnn_v1,0.2446085009753666,0.9241997462359453,0.3686477174849268,0.9972054335655343,0.3244882486732373,0.3686477174849268,0.34516129032258064,0.6829265755252305,0.3433271493436096,317942,891,733,428,0.5346464646464646,0.0036281930286192867,319994
3,2,simple_cnn_v1,0.025398536882660847,0.6175914320801453,0.07338017174082748,0.9956545742729426,0.0715372907153729,0.07338017174082748,0.07244701348747591,0.5345173730068851,0.06816636546850403,279535,1220,1187,94,0.693030303030303,0.004541973365102327,282036
3,3,simple_cnn_v1,0.046051388628580825,0.8632341553717295,0.2579034941763727,0.9854350743137864,0.06381226842321944,0.2579034941763727,0.10231023102310231,0.6216692842450795,0.12175641560898001,307709,4548,892,310,0.44555555555555554,0.0038346322804577314,313459
4,0,simple_cnn_v1,0.20384379511348688,0.9537679233912342,0.3620309050772627,0.9973778890798747,0.27424749163879597,0.3620309050772627,0.3120837297811608,0.6797043970785687,0.312951850435528,330163,868,578,328,0.5247474747474747,0.0027294335973392543,331937
4,1,simple_cnn_v1,0.21660282471138423,0.7923858530169147,0.18956254796623176,0.9994271397085649,0.5652173913043478,0.18956254796623176,0.28390804597701147,0.5944948438373984,0.32591425489706294,331479,190,1056,247,0.7623232323232323,0.003913241954278438,332972
4,2,simple_cnn_v1,0.10712102445485018,0.902957250405581,0.22583479789103691,0.998089808005944,0.26171079429735233,0.22583479789103691,0.24245283018867925,0.6119623029484905,0.2410060650748546,378818,725,881,257,0.6880808080808081,0.0029893795592635304,380681
4,3,simple_cnn_v1,0.34309996443314517,0.8754836393046028,0.31255565449688333,0.9993570555570719,0.6234458259325044,0.31255565449688333,0.41637010676156583,0.6559563550269776,0.4401495629141723,329521,212,772,351,0.6682828282828283,0.0033942258867906278,330856
