outer_fold,inner_fold,threshold,validation_f1,threshold_source,selection_method,tie_count
0,0,0.9603030303030302,0.1704781704781705,inner_validation,validation_max_f1,1
0,1,0.7227272727272727,0.46800501882057716,inner_validation,validation_max_f1,1
0,2,0.8019191919191919,0.1938534278959811,inner_validation,validation_max_f1,1
0,3,0.40595959595959596,0.05122699386503068,inner_validation,validation_max_f1,1
1,0,0.7474747474747474,0.12060301507537688,inner_validation,validation_max_f1,1
1,1,0.30696969696969695,0.10167224080267559,inner_validation,validation_max_f1,1
1,2,0.8365656565656565,0.12878787878787878,inner_validation,validation_max_f1,1
1,3,0.3713131313131313,0.09794801641586867,inner_validation,validation_max_f1,1
2,0,0.8167676767676767,0.18610747051114024,inner_validation,validation_max_f1,1
2,1,0.9207070707070707,0.30117406840224603,inner_validation,validation_max_f1,1
2,2,0.4208080808080808,0.2738255033557047,inner_validation,validation_max_f1,1
2,3,0.9702020202020202,0.3156833081190116,inner_validation,validation_max_f1,1
3,0,0.7177777777777777,0.18089315997738836,inner_validation,validation_max_f1,1
3,1,0.5346464646464646,0.34516129032258064,inner_validation,validation_max_f1,1
3,2,0.693030303030303,0.07244701348747591,inner_validation,validation_max_f1,1
3,3,0.44555555555555554,0.10231023102310231,inner_validation,validation_max_f1,1
4,0,0.5247474747474747,0.3120837297811608,inner_validation,validation_max_f1,1
4,1,0.7623232323232323,0.28390804597701147,inner_validation,validation_max_f1,1
4,2,0.6880808080808081,0.24245283018867925,inner_validation,validation_max_f1,1
4,3,0.6682828282828283,0.41637010676156583,inner_validation,validation_max_f1,1
