outer_fold,inner_fold,model_name,seed,device,train_subject_count,validation_subject_count,test_subject_count,train_window_count,validation_window_count,train_positive_count,train_negative_count,pos_weight,best_epoch,epochs_completed,best_validation_average_precision,parameter_count,scaler_path,checkpoint_path,history_path,git_commit,timestamp_utc,batched_block_reading,training_preload_fif,validation_block_reading,validation_preload_fif,validation_order
0,0,simple_cnn_v1,42,cuda,13,4,5,893901,415536,3365,890536,264.64665676077266,20,28,0.07178704380150583,47393,artifacts\scalers\outer_00\inner_00_scaler.npz,artifacts\models\baseline_v1\outer_00\inner_00\best_model.pt,reports\baseline\training_curves\outer_00_inner_00_history.csv,b495ba95b8bb5e3fe43cceb8cee2c6e0075db69d,2026-08-15T18:26:31.552314+00:00,True,False,True,False,recording_contiguous
0,1,simple_cnn_v1,43,cuda,12,5,5,976850,332587,3541,973309,274.8683987574132,4,12,0.4004063605732654,47393,artifacts\scalers\outer_00\inner_01_scaler.npz,artifacts\models\baseline_v1\outer_00\inner_01\best_model.pt,reports\baseline\training_curves\outer_00_inner_01_history.csv,b495ba95b8bb5e3fe43cceb8cee2c6e0075db69d,2026-08-15T19:47:30.929134+00:00,True,False,True,False,recording_contiguous
0,2,simple_cnn_v1,44,cuda,14,3,5,1061582,247855,3252,1058330,325.43972939729395,5,13,0.08235823178518714,47393,artifacts\scalers\outer_00\inner_02_scaler.npz,artifacts\models\baseline_v1\outer_00\inner_02\best_model.pt,reports\baseline\training_curves\outer_00_inner_02_history.csv,b495ba95b8bb5e3fe43cceb8cee2c6e0075db69d,2026-08-15T21:24:26.190883+00:00,True,False,True,False,recording_contiguous
0,3,simple_cnn_v1,45,cuda,12,5,5,995978,313459,3276,992702,303.02258852258853,2,10,0.018579091871250675,47393,artifacts\scalers\outer_00\inner_03_scaler.npz,artifacts\models\baseline_v1\outer_00\inner_03\best_model.pt,reports\baseline\training_curves\outer_00_inner_03_history.csv,b495ba95b8bb5e3fe43cceb8cee2c6e0075db69d,2026-08-15T22:31:25.607058+00:00,True,False,True,False,recording_contiguous
1,0,simple_cnn_v1,142,cuda,13,4,5,876178,415536,3646,872532,239.31212287438288,9,17,0.04590078817574237,47393,artifacts\scalers\outer_01\inner_00_scaler.npz,artifacts\models\baseline_v1\outer_01\inner_00\best_model.pt,reports\baseline\training_curves\outer_01_inner_00_history.csv,b495ba95b8bb5e3fe43cceb8cee2c6e0075db69d,2026-08-16T00:35:38.540592+00:00,True,False,True,False,recording_contiguous
1,1,simple_cnn_v1,143,cuda,12,5,5,976850,314864,3541,973309,274.8683987574132,1,9,0.047448597818600446,47393,artifacts\scalers\outer_01\inner_01_scaler.npz,artifacts\models\baseline_v1\outer_01\inner_01\best_model.pt,reports\baseline\training_curves\outer_01_inner_01_history.csv,b495ba95b8bb5e3fe43cceb8cee2c6e0075db69d,2026-08-16T01:32:01.212645+00:00,True,False,True,False,recording_contiguous
1,2,simple_cnn_v1,144,cuda,14,3,5,1043859,247855,3533,1040326,294.459666006227,10,18,0.05031119753025721,47393,artifacts\scalers\outer_01\inner_02_scaler.npz,artifacts\models\baseline_v1\outer_01\inner_02\best_model.pt,reports\baseline\training_curves\outer_01_inner_02_history.csv,b495ba95b8bb5e3fe43cceb8cee2c6e0075db69d,2026-08-16T03:11:25.986188+00:00,True,False,True,False,recording_contiguous
1,3,simple_cnn_v1,145,cuda,12,5,5,978255,313459,3557,974698,274.0224908630869,1,9,0.04317280949447955,47393,artifacts\scalers\outer_01\inner_03_scaler.npz,artifacts\models\baseline_v1\outer_01\inner_03\best_model.pt,reports\baseline\training_curves\outer_01_inner_03_history.csv,b495ba95b8bb5e3fe43cceb8cee2c6e0075db69d,2026-08-16T04:07:47.033044+00:00,True,False,True,False,recording_contiguous
2,0,simple_cnn_v1,242,cuda,13,4,5,895306,415536,3381,891925,263.8050872522922,20,28,0.08396480269295686,47393,artifacts\scalers\outer_02\inner_00_scaler.npz,artifacts\models\baseline_v1\outer_02\inner_00\best_model.pt,reports\baseline\training_curves\outer_02_inner_00_history.csv,b495ba95b8bb5e3fe43cceb8cee2c6e0075db69d,2026-08-16T07:30:16.186725+00:00,True,False,True,False,recording_contiguous
2,1,simple_cnn_v1,243,cuda,12,5,5,995978,314864,3276,992702,303.02258852258853,15,23,0.21738831061445757,47393,artifacts\scalers\outer_02\inner_01_scaler.npz,artifacts\models\baseline_v1\outer_02\inner_01\best_model.pt,reports\baseline\training_curves\outer_02_inner_01_history.csv,b495ba95b8bb5e3fe43cceb8cee2c6e0075db69d,2026-08-16T09:56:50.189157+00:00,True,False,True,False,recording_contiguous
