channel_name,file_count,patient_count,total_files,total_patients,file_coverage_fraction,patient_coverage_fraction
C3-P3,683,24,686,24,0.9956268221574344,1.0
C4-P4,683,24,686,24,0.9956268221574344,1.0
CZ-PZ,683,24,686,24,0.9956268221574344,1.0
F3-C3,683,24,686,24,0.9956268221574344,1.0
F4-C4,683,24,686,24,0.9956268221574344,1.0
F7-T7,683,24,686,24,0.9956268221574344,1.0
F8-T8,683,24,686,24,0.9956268221574344,1.0
FP1-F3,683,24,686,24,0.9956268221574344,1.0
FP1-F7,683,24,686,24,0.9956268221574344,1.0
FP2-F4,683,24,686,24,0.9956268221574344,1.0
FP2-F8,683,24,686,24,0.9956268221574344,1.0
FZ-CZ,683,24,686,24,0.9956268221574344,1.0
P3-O1,683,24,686,24,0.9956268221574344,1.0
P4-O2,683,24,686,24,0.9956268221574344,1.0
P7-O1,683,24,686,24,0.9956268221574344,1.0
P8-O2,683,24,686,24,0.9956268221574344,1.0
T7-P7,683,24,686,24,0.9956268221574344,1.0
FT10-T8,655,24,686,24,0.9548104956268222,1.0
FT9-FT10,655,24,686,24,0.9548104956268222,1.0
P7-T7,655,24,686,24,0.9548104956268222,1.0
T7-FT9,655,24,686,24,0.9548104956268222,1.0
T8-P8-0,655,24,686,24,0.9548104956268222,1.0
T8-P8-1,655,24,686,24,0.9548104956268222,1.0
--0,292,11,686,24,0.42565597667638483,0.4583333333333333
--1,292,11,686,24,0.42565597667638483,0.4583333333333333
--2,292,11,686,24,0.42565597667638483,0.4583333333333333
--3,292,11,686,24,0.42565597667638483,0.4583333333333333
--4,264,10,686,24,0.3848396501457726,0.4166666666666667
.-0,64,2,686,24,0.09329446064139942,0.08333333333333333
.-1,64,2,686,24,0.09329446064139942,0.08333333333333333
.-2,64,2,686,24,0.09329446064139942,0.08333333333333333
.-3,64,2,686,24,0.09329446064139942,0.08333333333333333
.-4,64,2,686,24,0.09329446064139942,0.08333333333333333
CP2,42,2,686,24,0.061224489795918366,0.08333333333333333
CP6,42,2,686,24,0.061224489795918366,0.08333333333333333
CP1,40,1,686,24,0.05830903790087463,0.041666666666666664
CP5,40,1,686,24,0.05830903790087463,0.041666666666666664
FC1,40,1,686,24,0.05830903790087463,0.041666666666666664
FC2,40,1,686,24,0.05830903790087463,0.041666666666666664
FC5,40,1,686,24,0.05830903790087463,0.041666666666666664
FC6,40,1,686,24,0.05830903790087463,0.041666666666666664
--5,39,1,686,24,0.056851311953352766,0.041666666666666664
PZ-OZ,39,1,686,24,0.056851311953352766,0.041666666666666664
ECG,36,1,686,24,0.052478134110787174,0.041666666666666664
T8-P8,28,6,686,24,0.04081632653061224,0.25
VNS,18,1,686,24,0.026239067055393587,0.041666666666666664
LOC-ROC,11,1,686,24,0.016034985422740525,0.041666666666666664
01,2,1,686,24,0.0029154518950437317,0.041666666666666664
C2,2,1,686,24,0.0029154518950437317,0.041666666666666664
C3,2,1,686,24,0.0029154518950437317,0.041666666666666664
C4,2,1,686,24,0.0029154518950437317,0.041666666666666664
C6,2,1,686,24,0.0029154518950437317,0.041666666666666664
CP4,2,1,686,24,0.0029154518950437317,0.041666666666666664
CZ,2,1,686,24,0.0029154518950437317,0.041666666666666664
EKG1-CHIN,2,1,686,24,0.0029154518950437317,0.041666666666666664
F3,2,1,686,24,0.0029154518950437317,0.041666666666666664
F4,2,1,686,24,0.0029154518950437317,0.041666666666666664
F7,2,1,686,24,0.0029154518950437317,0.041666666666666664
F8,2,1,686,24,0.0029154518950437317,0.041666666666666664
FP1,2,1,686,24,0.0029154518950437317,0.041666666666666664
FP2,2,1,686,24,0.0029154518950437317,0.041666666666666664
FZ,2,1,686,24,0.0029154518950437317,0.041666666666666664
O2,2,1,686,24,0.0029154518950437317,0.041666666666666664
P3,2,1,686,24,0.0029154518950437317,0.041666666666666664
P4,2,1,686,24,0.0029154518950437317,0.041666666666666664
P7,2,1,686,24,0.0029154518950437317,0.041666666666666664
P8,2,1,686,24,0.0029154518950437317,0.041666666666666664
PZ,2,1,686,24,0.0029154518950437317,0.041666666666666664
T7,2,1,686,24,0.0029154518950437317,0.041666666666666664
T8,2,1,686,24,0.0029154518950437317,0.041666666666666664
C2-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
C3-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
C4-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
C6-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
CP2-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
CP4-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
CP6-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
CZ-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
EKG1-EKG2,1,1,686,24,0.0014577259475218659,0.041666666666666664
F3-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
F4-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
F7-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
F8-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
FP1-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
FP2-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
FZ-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
LUE-RAE,1,1,686,24,0.0014577259475218659,0.041666666666666664
O1-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
O2-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
P3-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
P4-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
P7-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
P8-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
PZ-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
T7-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
T8-CS2,1,1,686,24,0.0014577259475218659,0.041666666666666664
