signature_id,unordered_channel_signature,file_count,patient_count,example_patient,example_recording,minimum_channel_count,maximum_channel_count
SIG-001,C3-P3||C4-P4||CZ-PZ||F3-C3||F4-C4||F7-T7||F8-T8||FP1-F3||FP1-F7||FP2-F4||FP2-F8||FT10-T8||FT9-FT10||FZ-CZ||P3-O1||P4-O2||P7-O1||P7-T7||P8-O2||T7-FT9||T7-P7||T8-P8-0||T8-P8-1,276,13,chb01,chb01_01,23,23
SIG-002,--0||--1||--2||--3||--4||C3-P3||C4-P4||CZ-PZ||F3-C3||F4-C4||F7-T7||F8-T8||FP1-F3||FP1-F7||FP2-F4||FP2-F8||FT10-T8||FT9-FT10||FZ-CZ||P3-O1||P4-O2||P7-O1||P7-T7||P8-O2||T7-FT9||T7-P7||T8-P8-0||T8-P8-1,211,9,chb11,chb11_02,28,28
SIG-003,.-0||.-1||.-2||.-3||.-4||C3-P3||C4-P4||CZ-PZ||F3-C3||F4-C4||F7-T7||F8-T8||FP1-F3||FP1-F7||FP2-F4||FP2-F8||FT10-T8||FT9-FT10||FZ-CZ||P3-O1||P4-O2||P7-O1||P7-T7||P8-O2||T7-FT9||T7-P7||T8-P8-0||T8-P8-1,64,2,chb18,chb18_02,28,28
SIG-004,--0||--1||--2||--3||--4||--5||C3-P3||C4-P4||CP1||CP2||CP5||CP6||CZ-PZ||F3-C3||F4-C4||F7-T7||F8-T8||FC1||FC2||FC5||FC6||FP1-F3||FP1-F7||FP2-F4||FP2-F8||FT10-T8||FT9-FT10||FZ-CZ||P3-O1||P4-O2||P7-O1||P7-T7||P8-O2||PZ-OZ||T7-FT9||T7-P7||T8-P8-0||T8-P8-1,39,1,chb15,chb15_02,38,38
SIG-005,C3-P3||C4-P4||CZ-PZ||ECG||F3-C3||F4-C4||F7-T7||F8-T8||FP1-F3||FP1-F7||FP2-F4||FP2-F8||FT10-T8||FT9-FT10||FZ-CZ||P3-O1||P4-O2||P7-O1||P7-T7||P8-O2||T7-FT9||T7-P7||T8-P8-0||T8-P8-1,36,1,chb04,chb04_07,24,24
SIG-006,--0||--1||--2||--3||C3-P3||C4-P4||CZ-PZ||F3-C3||F4-C4||F7-T7||F8-T8||FP1-F3||FP1-F7||FP2-F4||FP2-F8||FZ-CZ||P3-O1||P4-O2||P7-O1||P8-O2||T7-P7||T8-P8,26,5,chb13,chb13_05,22,22
SIG-007,C3-P3||C4-P4||CZ-PZ||F3-C3||F4-C4||F7-T7||F8-T8||FP1-F3||FP1-F7||FP2-F4||FP2-F8||FT10-T8||FT9-FT10||FZ-CZ||P3-O1||P4-O2||P7-O1||P7-T7||P8-O2||T7-FT9||T7-P7||T8-P8-0||T8-P8-1||VNS,18,1,chb09,chb09_02,24,24
SIG-008,--0||--1||--2||--3||--4||C3-P3||C4-P4||CZ-PZ||F3-C3||F4-C4||F7-T7||F8-T8||FP1-F3||FP1-F7||FP2-F4||FP2-F8||FT10-T8||FT9-FT10||FZ-CZ||LOC-ROC||P3-O1||P4-O2||P7-O1||P7-T7||P8-O2||T7-FT9||T7-P7||T8-P8-0||T8-P8-1,11,1,chb12,chb12_32,29,29
SIG-009,--0||--1||--2||--3||01||C2||C3||C4||C6||CP2||CP4||CP6||CZ||EKG1-CHIN||F3||F4||F7||F8||FP1||FP2||FZ||O2||P3||P4||P7||P8||PZ||T7||T8,2,1,chb12,chb12_28,29,29
SIG-010,--0||--1||--2||--3||--4||C2-CS2||C3-CS2||C4-CS2||C6-CS2||CP2-CS2||CP4-CS2||CP6-CS2||CZ-CS2||F3-CS2||F4-CS2||F7-CS2||F8-CS2||FP1-CS2||FP2-CS2||FZ-CS2||O1-CS2||O2-CS2||P3-CS2||P4-CS2||P7-CS2||P8-CS2||PZ-CS2||T7-CS2||T8-CS2,1,1,chb12,chb12_27,29,29
SIG-011,--0||--1||--2||--3||--4||C3-P3||C4-P4||CP1||CP2||CP5||CP6||CZ-PZ||F3-C3||F4-C4||F7-T7||F8-T8||FC1||FC2||FC5||FC6||FP1-F3||FP1-F7||FP2-F4||FP2-F8||FZ-CZ||P3-O1||P4-O2||P7-O1||P8-O2||T7-P7||T8-P8,1,1,chb15,chb15_01,31,31
SIG-012,--0||--1||--2||--3||--4||C3-P3||C4-P4||CZ-PZ||EKG1-EKG2||F3-C3||F4-C4||F7-T7||F8-T8||FP1-F3||FP1-F7||FP2-F4||FP2-F8||FZ-CZ||LUE-RAE||P3-O1||P4-O2||P7-O1||P8-O2||T7-P7||T8-P8,1,1,chb13,chb13_04,25,25
