patient_id,recording_id,relative_path,duplicate_base,first_channel,second_channel,samples_compared,exactly_identical,numerically_allclose,pearson_correlation,maximum_absolute_difference,root_mean_square_difference
chb01,chb01_01,chb01/chb01_01.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,1.0,0.0,0.0
chb01,chb01_02,chb01/chb01_02.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,1.0,0.0,0.0
chb01,chb01_03,chb01/chb01_03.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,0.9999999999999999,0.0,0.0
chb01,chb01_04,chb01/chb01_04.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,1.0,0.0,0.0
chb01,chb01_05,chb01/chb01_05.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,1.0,0.0,0.0
chb01,chb01_06,chb01/chb01_06.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,1.0,0.0,0.0
chb01,chb01_07,chb01/chb01_07.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,1.0,0.0,0.0
chb01,chb01_08,chb01/chb01_08.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,1.0,0.0,0.0
chb01,chb01_09,chb01/chb01_09.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,1.0,0.0,0.0
chb01,chb01_10,chb01/chb01_10.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,0.9999999999999998,0.0,0.0
chb01,chb01_11,chb01/chb01_11.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,0.9999999999999999,0.0,0.0
chb01,chb01_12,chb01/chb01_12.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,0.9999999999999999,0.0,0.0
chb01,chb01_13,chb01/chb01_13.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,0.9999999999999999,0.0,0.0
chb01,chb01_14,chb01/chb01_14.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,1.0,0.0,0.0
chb01,chb01_15,chb01/chb01_15.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,0.9999999999999998,0.0,0.0
chb01,chb01_16,chb01/chb01_16.edf,T8-P8,T8-P8-0,T8-P8-1,76800,True,True,1.0,0.0,0.0
