scope,outer_fold,inner_fold,negative_count,positive_count,raw_negative_to_positive_ratio,pos_weight,weight_source
inner_training,0,0.0,890536,3365,264.64665676077266,264.64665676077266,training_windows_only
inner_training,0,1.0,973309,3541,274.86839875741316,274.86839875741316,training_windows_only
inner_training,0,2.0,1058330,3252,325.43972939729395,325.43972939729395,training_windows_only
inner_training,0,3.0,992702,3276,303.02258852258853,303.02258852258853,training_windows_only
outer_development,0,,1304959,4478,291.41558731576595,291.41558731576595,outer_development_windows_only
inner_training,1,0.0,872532,3646,239.31212287438288,239.31212287438288,training_windows_only
inner_training,1,1.0,973309,3541,274.86839875741316,274.86839875741316,training_windows_only
inner_training,1,2.0,1040326,3533,294.459666006227,294.459666006227,training_windows_only
inner_training,1,3.0,974698,3557,274.0224908630869,274.0224908630869,training_windows_only
outer_development,1,,1286955,4759,270.4255095608321,270.4255095608321,outer_development_windows_only
inner_training,2,0.0,891925,3381,263.8050872522922,263.8050872522922,training_windows_only
inner_training,2,1.0,992702,3276,303.02258852258853,303.02258852258853,training_windows_only
inner_training,2,2.0,974698,3557,274.0224908630869,274.0224908630869,training_windows_only
inner_training,2,3.0,1059719,3268,324.2714198286414,324.2714198286414,training_windows_only
outer_development,2,,1306348,4494,290.6871384067646,290.6871384067646,outer_development_windows_only
inner_training,3,0.0,911845,3644,250.23188803512625,250.23188803512625,training_windows_only
inner_training,3,1.0,885349,3422,258.7226767971946,258.7226767971946,training_windows_only
inner_training,3,2.0,923427,3302,279.65687462144155,279.65687462144155,training_windows_only
inner_training,3,3.0,891925,3381,263.8050872522922,263.8050872522922,training_windows_only
outer_development,3,,1204182,4583,262.7497272528911,262.7497272528911,outer_development_windows_only
inner_training,4,0.0,1040945,3564,292.0721099887767,292.0721099887767,training_windows_only
inner_training,4,1.0,1040307,3167,328.48342279760027,328.48342279760027,training_windows_only
inner_training,4,2.0,992433,3332,297.8490396158463,297.8490396158463,training_windows_only
inner_training,4,3.0,1042243,3347,311.39617567971317,311.39617567971317,training_windows_only
outer_development,4,,1371976,4470,306.9297539149888,306.9297539149888,outer_development_windows_only
