scope,outer_fold,inner_fold,role,subject_count,window_count,negative_count,positive_count
nested_fold,0,0,train,13,893901,890536,3365
nested_fold,0,0,validation,4,415536,414423,1113
nested_fold,0,0,test,5,314864,313646,1218
nested_fold,0,1,train,12,976850,973309,3541
nested_fold,0,1,validation,5,332587,331650,937
nested_fold,0,1,test,5,314864,313646,1218
nested_fold,0,2,train,14,1061582,1058330,3252
nested_fold,0,2,validation,3,247855,246629,1226
nested_fold,0,2,test,5,314864,313646,1218
nested_fold,0,3,train,12,995978,992702,3276
nested_fold,0,3,validation,5,313459,312257,1202
nested_fold,0,3,test,5,314864,313646,1218
nested_fold,1,0,train,13,876178,872532,3646
nested_fold,1,0,validation,4,415536,414423,1113
nested_fold,1,0,test,5,332587,331650,937
nested_fold,1,1,train,12,976850,973309,3541
nested_fold,1,1,validation,5,314864,313646,1218
nested_fold,1,1,test,5,332587,331650,937
nested_fold,1,2,train,14,1043859,1040326,3533
nested_fold,1,2,validation,3,247855,246629,1226
nested_fold,1,2,test,5,332587,331650,937
nested_fold,1,3,train,12,978255,974698,3557
nested_fold,1,3,validation,5,313459,312257,1202
nested_fold,1,3,test,5,332587,331650,937
nested_fold,2,0,train,13,895306,891925,3381
nested_fold,2,0,validation,4,415536,414423,1113
nested_fold,2,0,test,5,313459,312257,1202
nested_fold,2,1,train,12,995978,992702,3276
nested_fold,2,1,validation,5,314864,313646,1218
nested_fold,2,1,test,5,313459,312257,1202
nested_fold,2,2,train,12,978255,974698,3557
nested_fold,2,2,validation,5,332587,331650,937
nested_fold,2,2,test,5,313459,312257,1202
nested_fold,2,3,train,14,1062987,1059719,3268
nested_fold,2,3,validation,3,247855,246629,1226
nested_fold,2,3,test,5,313459,312257,1202
nested_fold,3,0,train,14,915489,911845,3644
nested_fold,3,0,validation,4,293276,292337,939
nested_fold,3,0,test,4,415536,414423,1113
nested_fold,3,1,train,13,888771,885349,3422
nested_fold,3,1,validation,5,319994,318833,1161
nested_fold,3,1,test,4,415536,414423,1113
nested_fold,3,2,train,14,926729,923427,3302
nested_fold,3,2,validation,4,282036,280755,1281
nested_fold,3,2,test,4,415536,414423,1113
nested_fold,3,3,train,13,895306,891925,3381
nested_fold,3,3,validation,5,313459,312257,1202
nested_fold,3,3,test,4,415536,414423,1113
nested_fold,4,0,train,14,1044509,1040945,3564
nested_fold,4,0,validation,5,331937,331031,906
nested_fold,4,0,test,3,247855,246629,1226
nested_fold,4,1,train,14,1043474,1040307,3167
nested_fold,4,1,validation,5,332972,331669,1303
nested_fold,4,1,test,3,247855,246629,1226
nested_fold,4,2,train,16,995765,992433,3332
nested_fold,4,2,validation,3,380681,379543,1138
nested_fold,4,2,test,3,247855,246629,1226
nested_fold,4,3,train,13,1045590,1042243,3347
nested_fold,4,3,validation,6,330856,329733,1123
nested_fold,4,3,test,3,247855,246629,1226
