case_id,recording_id,channel_index,original_channel_name,canonical_channel_name
chb01,chb01_01,0,FP1-F7,FP1-F7
chb01,chb01_01,1,F7-T7,F7-T7
chb01,chb01_01,2,T7-P7,T7-P7
chb01,chb01_01,3,P7-O1,P7-O1
chb01,chb01_01,4,FP1-F3,FP1-F3
chb01,chb01_01,5,F3-C3,F3-C3
chb01,chb01_01,6,C3-P3,C3-P3
chb01,chb01_01,7,P3-O1,P3-O1
chb01,chb01_01,8,FP2-F4,FP2-F4
chb01,chb01_01,9,F4-C4,F4-C4
chb01,chb01_01,10,C4-P4,C4-P4
chb01,chb01_01,11,P4-O2,P4-O2
chb01,chb01_01,12,FP2-F8,FP2-F8
chb01,chb01_01,13,F8-T8,F8-T8
chb01,chb01_01,14,T8-P8-0,T8-P8-0
chb01,chb01_01,15,P8-O2,P8-O2
chb01,chb01_01,16,FZ-CZ,FZ-CZ
chb01,chb01_01,17,CZ-PZ,CZ-PZ
chb01,chb01_01,18,P7-T7,P7-T7
chb01,chb01_01,19,T7-FT9,T7-FT9
chb01,chb01_01,20,FT9-FT10,FT9-FT10
chb01,chb01_01,21,FT10-T8,FT10-T8
chb01,chb01_01,22,T8-P8-1,T8-P8-1
chb01,chb01_02,0,FP1-F7,FP1-F7
chb01,chb01_02,1,F7-T7,F7-T7
chb01,chb01_02,2,T7-P7,T7-P7
chb01,chb01_02,3,P7-O1,P7-O1
chb01,chb01_02,4,FP1-F3,FP1-F3
chb01,chb01_02,5,F3-C3,F3-C3
chb01,chb01_02,6,C3-P3,C3-P3
chb01,chb01_02,7,P3-O1,P3-O1
chb01,chb01_02,8,FP2-F4,FP2-F4
chb01,chb01_02,9,F4-C4,F4-C4
chb01,chb01_02,10,C4-P4,C4-P4
chb01,chb01_02,11,P4-O2,P4-O2
chb01,chb01_02,12,FP2-F8,FP2-F8
chb01,chb01_02,13,F8-T8,F8-T8
chb01,chb01_02,14,T8-P8-0,T8-P8-0
chb01,chb01_02,15,P8-O2,P8-O2
chb01,chb01_02,16,FZ-CZ,FZ-CZ
chb01,chb01_02,17,CZ-PZ,CZ-PZ
chb01,chb01_02,18,P7-T7,P7-T7
chb01,chb01_02,19,T7-FT9,T7-FT9
chb01,chb01_02,20,FT9-FT10,FT9-FT10
chb01,chb01_02,21,FT10-T8,FT10-T8
chb01,chb01_02,22,T8-P8-1,T8-P8-1
chb01,chb01_03,0,FP1-F7,FP1-F7
chb01,chb01_03,1,F7-T7,F7-T7
chb01,chb01_03,2,T7-P7,T7-P7
chb01,chb01_03,3,P7-O1,P7-O1
chb01,chb01_03,4,FP1-F3,FP1-F3
chb01,chb01_03,5,F3-C3,F3-C3
chb01,chb01_03,6,C3-P3,C3-P3
chb01,chb01_03,7,P3-O1,P3-O1
chb01,chb01_03,8,FP2-F4,FP2-F4
chb01,chb01_03,9,F4-C4,F4-C4
chb01,chb01_03,10,C4-P4,C4-P4
chb01,chb01_03,11,P4-O2,P4-O2
chb01,chb01_03,12,FP2-F8,FP2-F8
chb01,chb01_03,13,F8-T8,F8-T8
chb01,chb01_03,14,T8-P8-0,T8-P8-0
chb01,chb01_03,15,P8-O2,P8-O2
chb01,chb01_03,16,FZ-CZ,FZ-CZ
chb01,chb01_03,17,CZ-PZ,CZ-PZ
chb01,chb01_03,18,P7-T7,P7-T7
chb01,chb01_03,19,T7-FT9,T7-FT9
chb01,chb01_03,20,FT9-FT10,FT9-FT10
chb01,chb01_03,21,FT10-T8,FT10-T8
chb01,chb01_03,22,T8-P8-1,T8-P8-1
chb01,chb01_04,0,FP1-F7,FP1-F7
chb01,chb01_04,1,F7-T7,F7-T7
chb01,chb01_04,2,T7-P7,T7-P7
chb01,chb01_04,3,P7-O1,P7-O1
chb01,chb01_04,4,FP1-F3,FP1-F3
chb01,chb01_04,5,F3-C3,F3-C3
chb01,chb01_04,6,C3-P3,C3-P3
chb01,chb01_04,7,P3-O1,P3-O1
chb01,chb01_04,8,FP2-F4,FP2-F4
chb01,chb01_04,9,F4-C4,F4-C4
chb01,chb01_04,10,C4-P4,C4-P4
chb01,chb01_04,11,P4-O2,P4-O2
chb01,chb01_04,12,FP2-F8,FP2-F8
chb01,chb01_04,13,F8-T8,F8-T8
chb01,chb01_04,14,T8-P8-0,T8-P8-0
chb01,chb01_04,15,P8-O2,P8-O2
chb01,chb01_04,16,FZ-CZ,FZ-CZ
chb01,chb01_04,17,CZ-PZ,CZ-PZ
chb01,chb01_04,18,P7-T7,P7-T7
chb01,chb01_04,19,T7-FT9,T7-FT9
chb01,chb01_04,20,FT9-FT10,FT9-FT10
chb01,chb01_04,21,FT10-T8,FT10-T8
chb01,chb01_04,22,T8-P8-1,T8-P8-1
chb01,chb01_05,0,FP1-F7,FP1-F7
chb01,chb01_05,1,F7-T7,F7-T7
chb01,chb01_05,2,T7-P7,T7-P7
chb01,chb01_05,3,P7-O1,P7-O1
chb01,chb01_05,4,FP1-F3,FP1-F3
chb01,chb01_05,5,F3-C3,F3-C3
chb01,chb01_05,6,C3-P3,C3-P3
chb01,chb01_05,7,P3-O1,P3-O1
chb01,chb01_05,8,FP2-F4,FP2-F4
chb01,chb01_05,9,F4-C4,F4-C4
chb01,chb01_05,10,C4-P4,C4-P4
