case_id,recording_count,total_window_count,non_ictal_window_count,boundary_window_count,ictal_window_count,clean_non_ictal_window_count
chb01,42,72951,72721,0,230,72301
chb02,36,63443,63353,0,90,63173
chb03,38,68365,68155,0,210,67735
chb04,42,280872,280677,0,195,280437
chb05,39,70166,69879,0,287,69579
chb06,18,120104,120011,0,93,119411
chb07,19,120674,120507,0,167,120327
chb08,20,35991,35524,0,467,35224
chb10,25,90016,89781,0,235,89361
chb11,35,62593,62186,0,407,62006
chb12,21,37216,36680,0,536,35083
chb13,33,59367,59083,0,284,58363
chb14,26,46774,46676,0,98,46196
chb15,40,71977,70952,0,1025,69752
chb16,19,34181,34126,0,55,33526
chb17,21,37791,37641,0,150,37461
chb18,36,64106,63937,0,169,63577
chb19,30,53843,53720,0,123,53540
chb20,29,49653,49494,0,159,49014
chb21,33,59061,58955,0,106,58715
chb22,31,55774,55666,0,108,55486
chb23,9,47795,47572,0,223,47152
chb24,12,21588,21309,0,279,20429
