outer_fold,inner_fold,role,subject_count,case_count,recording_count,total_window_count,non_ictal_window_count,boundary_window_count,ictal_window_count
0,0,train,13,13,376,893901,890536,0,3365
0,0,validation,4,4,101,415536,414423,0,1113
0,0,test,5,6,177,314864,313646,0,1218
0,1,train,12,12,340,976850,973309,0,3541
0,1,validation,5,5,137,332587,331650,0,937
0,1,test,5,6,177,314864,313646,0,1218
0,2,train,14,14,388,1061582,1058330,0,3252
0,2,validation,3,3,89,247855,246629,0,1226
0,2,test,5,6,177,314864,313646,0,1218
0,3,train,12,12,327,995978,992702,0,3276
0,3,validation,5,5,150,313459,312257,0,1202
0,3,test,5,6,177,314864,313646,0,1218
1,0,train,13,14,416,876178,872532,0,3646
1,0,validation,4,4,101,415536,414423,0,1113
1,0,test,5,5,137,332587,331650,0,937
1,1,train,12,12,340,976850,973309,0,3541
1,1,validation,5,6,177,314864,313646,0,1218
1,1,test,5,5,137,332587,331650,0,937
1,2,train,14,15,428,1043859,1040326,0,3533
1,2,validation,3,3,89,247855,246629,0,1226
1,2,test,5,5,137,332587,331650,0,937
1,3,train,12,13,367,978255,974698,0,3557
1,3,validation,5,5,150,313459,312257,0,1202
1,3,test,5,5,137,332587,331650,0,937
2,0,train,13,14,403,895306,891925,0,3381
2,0,validation,4,4,101,415536,414423,0,1113
2,0,test,5,5,150,313459,312257,0,1202
2,1,train,12,12,327,995978,992702,0,3276
2,1,validation,5,6,177,314864,313646,0,1218
2,1,test,5,5,150,313459,312257,0,1202
2,2,train,12,13,367,978255,974698,0,3557
2,2,validation,5,5,137,332587,331650,0,937
2,2,test,5,5,150,313459,312257,0,1202
2,3,train,14,15,415,1062987,1059719,0,3268
2,3,validation,3,3,89,247855,246629,0,1226
2,3,test,5,5,150,313459,312257,0,1202
3,0,train,14,14,388,915489,911845,0,3644
3,0,validation,4,5,165,293276,292337,0,939
3,0,test,4,4,101,415536,414423,0,1113
3,1,train,13,14,423,888771,885349,0,3422
3,1,validation,5,5,130,319994,318833,0,1161
3,1,test,4,4,101,415536,414423,0,1113
3,2,train,14,15,445,926729,923427,0,3302
3,2,validation,4,4,108,282036,280755,0,1281
3,2,test,4,4,101,415536,414423,0,1113
3,3,train,13,14,403,895306,891925,0,3381
3,3,validation,5,5,150,313459,312257,0,1202
3,3,test,4,4,101,415536,414423,0,1113
4,0,train,14,14,396,1044509,1040945,0,3564
4,0,validation,5,6,169,331937,331031,0,906
4,0,test,3,3,89,247855,246629,0,1226
4,1,train,14,15,428,1043474,1040307,0,3167
4,1,validation,5,5,137,332972,331669,0,1303
4,1,test,3,3,89,247855,246629,0,1226
4,2,train,16,17,467,995765,992433,0,3332
4,2,validation,3,3,98,380681,379543,0,1138
4,2,test,3,3,89,247855,246629,0,1226
4,3,train,13,14,404,1045590,1042243,0,3347
4,3,validation,6,6,161,330856,329733,0,1123
4,3,test,3,3,89,247855,246629,0,1226
